company,title,product,story,quote,reasons
Local Motors ,"Local Motors, the startup behind the Olli autonomous shuttle, has shut down",Olli,"Local Motors — the company behind Olli, an autonomous shuttle — closed down operations in January. Olli was an all-electric vehicle designed to operate in closed environments, such as college campuses and hospitals. While there was some buzz surrounding the announcement of its spring 2021 pilot partnership with Pacific Western Transportation — to bring shuttles to the city of Toronto, CA — the launch itself largely fell under the radar. ","“The autonomous vehicle space is an exciting emerging market with plenty of opportunity. Experiencing first-hand the skill and dedication of the people I worked with, I have no doubt AVs (like Olli) are the future of transportation.”","['Failure reasons: Lack of public awareness, Limited pilot partnership success, Shutdown of operations. ', '', 'Summarized reasons: Lack of awareness, Pilot partnership failure, Shutdown.']"
Neufund,Once Promising German Digital Security Platform Neufund Shuts Down,Neufund ,"Neufund, a developer of a blockchain platform for investing and fundraising, announced its closure on January 10. The company had performed well up to this point, processing around $22.6M via its Ethereum-based platform and registering 11K investors across 123 countries. ","“Our aim since the beginning always was to make investing and fundraising more inclusive. Our hard-working team combined with you, our incredible community, went down the right path. However, the existing environment of the regulatory system seems not to be equipped yet to support innovative fintech companies.”","['Failure reasons:', '', 'Regulatory system not supportive enough.', 'Lack of environment for innovation.', 'Closure due to regulatory challenges.']"
askRobin ,Estonian FinTech startup shuts down after reaching almost 2M customers,askRobin ,"Estonia-based askRobin was a credit marketplace for underbanked consumers in emerging markets. It initially experienced success with the launch of its financial education chatbot, onboarding 200K+ users within its first month of activity. This compelled the company to broaden its offering to include lending services. Despite expanding its customer base to nearly 2M users, the startup ran into a number of complications amid the pandemic, which, in the end, proved to be insurmountable. ","“We partnered with over a hundred lending companies to get the fairest credit to our customers. But something we never really achieved was a strong product market fit – not strong enough to allow us to stand against the storm, anyway.”","['Failure reasons:', '', 'Lack of product-market fit', 'Complications during the pandemic']"
Ikos ,Ikos’ ‘winding down’ of operations comes after years of rapid growth for Pittsburgh-based rental platform,Ikos,Pittsburgh-based Ikos stated that it would be “winding down” operations in a letter sent to shareholders at the end of December 2021. This announcement came on the heels of multiple years of continuous growth for the real estate rental platform — it had raised $7.6M in equity funding across 6 deals up to that point. ,"“Ultimately, inventory was super tight, which means our revenue growth was limited, and then as we started to pivot to make changes to the business that we were ultimately planning to continue under, we just ran out of time to continue to execute and really to continue to build the momentum that we started.”","['Failure reasons:', '', 'Tight inventory limits revenue growth.', 'Ran out of time to execute.', 'Failed to build momentum.']"
LendUp,CFPB shuts down payday lender it calls ‘a darling’ of venture capital,LendUp ,"Payday loan platform LendUp was forced to halt loan origination and the collection of some outstanding loans as the result of a lawsuit from the Consumer Financial Protection Bureau. The CFPB stated that the company had violated a 2016 consent order, engaged in misleading marketing practices, and failed to provide adverse-action notices to consumers in a timely manner. ",“LendUp was backed by some of the biggest names in venture capital. We are shuttering the lending operations of this fintech for repeatedly lying and illegally cheating its customers.”,"['Failure reasons:', '', 'Lawsuit from Consumer Financial Protection Bureau', 'Violation of 2016 consent order', 'Misleading marketing practices', 'Failure to provide timely notices', 'Lying and cheating customers']"
Binance,Binance shuts down Singapore cryptocurrency exchange,Binance Singapore ,"In mid-December 2021, Binance announced that it would close its portal in Singapore by February 2022. This move came at the tail-end of a series of regulatory challenges faced by the crypto trading platform. In September 2021, the Monetary Authority of Singapore had forced Binance.com to stop providing services to Singaporean residents, compelling its subsidiary, Binance Asia Services (BAS), to apply for a license to operate a regulated cryptocurrency exchange. ","“Binance said it will refocus Binance Asia Services’ operations in Singapore to create a hub for blockchain innovation to help develop the global ecosystem for the technology that underpins cryptocurrencies. It said it will explore a number of Singapore-based initiatives, including incubation programs, blockchain education, and further investment opportunities.”","['Failure reasons:', '', 'Regulatory challenges', 'Forced service stoppage', 'License application requirement', 'Closure of Singapore portal', 'Refocusing on blockchain innovation']"
1520,Instant delivery startup 1520 reportedly closes its doors,1520,"1520 — a rapid grocery delivery startup — shut down in December 2021. The company, launched in January of this year, aimed to provide no-fee 20-minute grocery delivery services and was initially successful in doing so. It drew $7.8M in seed funding from investors in April, opened up new dark store locations across Manhattan, and even expanded its services to Chicago in September. ","“Like other companies hoping to find a path to success by stoking customer demand for groceries on the double, 1520 has sought to deliver on the proposition that racing products to people’s doors could lead to a payday for investors.
The question now is whether investors are beginning to lose their appetite for the hefty risks that come with putting capital into the fledgling instant delivery industry.”","['Failure reasons:', '', 'Overestimated investor appetite for risk.', 'Uncertain viability of instant delivery.', 'Inability to sustain customer demand.', 'Insufficient long-term profitability.', 'Competitive pressure from other startups.']"
Apervita,Apervita ceases operations,Apervita,"Apervita, a health analytics startup, closed its doors in October 2021. While the company had picked up momentum in recent years, acquiring value-based contract and alternative payment administration solutions provider Qcentive and establishing partnerships with organizations like Mayo and Cleveland Clinic, it was not able to raise enough funding to maintain operations.","“Even with this market momentum, however, we ran into challenges with our second round of funding and have simply run out of runway.”","['Failure reasons:', '', 'Insufficient funding for operations.', 'Challenges with second round funding.', 'Ran out of runway.']"
Yunniao,Logistics unicorn backed by U.S. investors goes bankrupt,Yunniao ,"Same-city logistics company Yunniao went bankrupt at the end of October. Prior to its closure, it had garnered $210M in funding, last raising a $100M Series D round in February 2017. ","“More disgruntled employees quickly emerged, claiming they were forced to buy the company’s financial products, and that drivers were required to pay a 4,000 yuan ($626) deposit before they could get jobs, but never had them refunded.”","['Failure reasons:', '', 'Mismanagement of employee finances.', 'Coercion to purchase financial products.', 'Unreturned driver deposit payments.']"
Payvision,ING Phases out Payvision,Payvision ,"ING announced that it would begin the shutdown of its Payvision subsidiary, a card acquirer and payments platform, at the start of November. ING acquired a majority stake in the startup in 2018 to enhance its omnichannel payments and merchant services. Soon after, the startup became mired in controversy — the European Funds Recovery Initiative publicly claimed that the startup had processed $160M in fraudulent transactions prior to its acquisition. ","“After a thorough evaluation of all options in the context of the rapidly evolving and increasingly competitive and capital intensive e-commerce merchant market, ING has concluded that it is not feasible to achieve its ambitions with Payvision. The aim is to complete the phase-out process by the second quarter of 2022.”","['Failure reasons:', '', 'Fraudulent transactions prior to acquisition.', 'Infeasible to achieve ambitions.', 'Rapidly evolving and competitive market.']"
YCloset,Alibaba-backed fashion rental app YCloset shuts down after five years,YCloset ,"YCloset — a fashion rental startup — shut down in early July, despite having raised $70M in total disclosed funding since its founding in 2015. In doing so, the company announced plans to end support for its sales and online channels by August 15. Like its US-based counterparts, Rent the Runway and Stitch Fix, YCloset operated using a subscription model and allowed its users to rent branded apparel.","“YCloset’s collapse comes as investor sentiment sours toward the once-popular fashion rental market, which has proven to be capital intensive. As YCloset scaled, it struggled to keep up with high expenses in shipping, dry cleaning, and staying abreast of the latest fashion trends.”","['Failure reasons:', '', 'High expenses in shipping', 'High expenses in dry cleaning', 'Difficulty staying abreast of fashion trends']"
KupiVIP & Mamsy ,Russian Online Retail Pioneer KupiVIP Shuts Down,KupiVIP & Mamsy ,"Discount e-commerce retailer KupiVIP and its affiliate Mamsy shut down after Yandex backed out of a deal to buy the company in July. Founded in 2008, KupiVIP was once one of Russia’s top 10 e-commerce sites — in fact, in 2012 it was valued at $400M. However, its ranking fell as competition in the space increased, ultimately leading it to experience a 10% year-over-year decrease in sales revenue in 2020. ","“KupiVIP attempted to become omnichannel, involving operating across its websites, mobile app and brick-and-mortar retail stores. All this required significant capital, given the size of the Russian market…
While the international context was less favorable, not all local players were able or willing to invest in the company.” ","['Failure reasons:', '', 'Yandex backed out of deal.', 'Increased competition in e-commerce.', 'Decrease in sales revenue.', 'Attempted omnichannel expansion.', 'Lack of local investment.']"
Abundant Robotics,US: fruit harvesting robot company shuts down,Abundant Robotics ,"Robotic apple harvester developer Abundant Robotics announced that it would be closing its doors at the beginning of July. Abundant claimed that it had been unable to develop the market traction necessary to stay afloat amid the pandemic, despite having collected $10M in venture capital investment and additional funding from The Washington Tree Fruit Research Commission. ","“After a series of promising commercial trials with prototype apple harvesters, the company was unable to raise enough investment funding to continue development and launch a production system.”","['Failure reasons:', '', 'Lack of market traction', 'Insufficient investment funding', 'Inability to launch production system']"
Yelo ,Exclusive: Matrix-backed neo-banking app Yelo shuts down ,Yelo ,"July 2021 saw the closure of Yelo — a challenger bank mainly geared toward gig workers. After raising a seed round in 2019 and subsequently amassing 4M app downloads, the company faced complications with its business model that were further compounded by the onset of the pandemic. While no official statement was made by the company, in July, an anonymous source close to the company stated, ",“Yelo suspended the operations last month and laid off all employees in the past few months.”,"['Failure reasons:', '', 'Business model complications', 'Pandemic impact', 'Suspension of operations', 'Layoff of employees']"
Orthrus Studios,Distant Kingdoms dev Orthrus Studios shuts down after entire team is laid off,Orthrus Studios ,"Scotland-based video game developer Orthrus Studios shut down following the launch of its fantasy video game “Distant Kingdoms” in May. The company’s team of 10 employees, including founder Oliver V. Smith, were all let go. ","“As of today myself and my entire team at Orthrus Studios have been made redundant.
We worked our hardest on Distant Kingdoms, but sometimes the work and a good product just aren’t enough.
I am incredibly grateful to the people who helped make this 4.5 year dream a reality, and my colleagues are all INCREDIBLY talented people, some of whom I firmly believe are the next great minds of Game Development.”","['Failure reasons:', '', 'Insufficient market demand for game.', 'Financial difficulties leading to redundancy.', 'Work and product not enough.', 'Inability to sustain operations.', 'Talent unable to save company.']"
Houseparty ,"Epic Games to shut down Houseparty in October, including the video chat ‘Fortnite Mode’ feature",Houseparty ,"At the start of September, Epic Games announced that it would be discontinuing Houseparty come October. Epic acquired the video chat app in 2019 for $35M in order to provide live video chat capabilities to Fortnite gamers. While the company didn’t cite an explicit reason for the shutdown, many surmised that the app had simply proven to be financially unsustainable.",“So what’s next? The team behind Houseparty is working on creating new ways to have meaningful and authentic social interactions at metaverse scale across the Epic Games family.”,"['Failure reason: Financial unsustainability.', '', 'Summary: Unsustainable financial model, exploring alternatives.']"
Clickety ,Closing Clickety,Clickety ,"At the end of August, project management tool Clickety announced it would be closing down. Customers were told to contact the company to obtain a file containing data related to “group memberships, manual comments, people notes, and merged aliases,” otherwise it would be permanently deleted on October 1. Founder Luke Kanies didn’t provide a specific reason for the closure, simply stating,",“We are incredibly proud of what we’ve built. We’ll miss using it ourselves. And we’re as convinced as ever that what we were building – a powerful tool to help people whose jobs are built around people work – is still needed. But we aren’t able to continue our efforts.”,"['Failure reason: Unable to continue efforts. ', '', 'Summarized reasons: ', 'Closure due to inability to continue.', 'No specific reason provided.', 'Tool still needed but unable to continue.', 'Proud of what was built.', 'Closure announced without explanation.']"
Mastree,Unacademy shuts Mastree after a year of acquisition,Mastree,"Unacademy shut down online learning platform Mastree a year after acquiring a majority stake in the company for $5M. Of Mastree’s 240 employees, Unacademy stated that 190 would be redistributed across its other businesses following the closure, though Mastree co-founders Shrey Goyal and Royal Jain chose to fully depart. In an internal note, Unacademy co-founder and chief executive Gaurav Munjal commented,",“Everyone – after a lot of experiments we have decided to shut down the operations at Mastree. Kudos to Shrey and Royal for iterating at breakneck speed and trying out many things before all of us decided to shut things down.”,"['Failure reasons:', '', 'Unsuccessful business operations at Mastree.', ""Redundancy of Mastree's employees."", ""Co-founders' departure from Mastree."", 'Decision to shut down operations.', 'Experiments and iterations did not succeed.']"
Katerra,Katerra Commences U.S. Court-Supervised Process to Implement Financial Restructuring,Katerra,Modular construction startup Katerra filed for Chapter 11 bankruptcy in early June 2021. The SoftBank-backed unicorn was last valued at $3B in 2018 and had raised nearly $1.5B in total funding from investors such as Khosla Ventures and Greenoaks Capital Management. ,"“Our multi-step action plan has rapidly evolved and includes consolidating US activities, continuing our international businesses, advancing key asset sales, securing debtor-in-possession financing, and commencing an in-court restructuring process. We are grateful to the extraordinary ongoing work and support of the Katerra team and other core constituencies through this extremely difficult time.”","['Failure reasons:', '', 'Bankruptcy', 'Valuation decline', 'Insufficient funding', 'Restructuring and consolidation', 'Challenging economic conditions']"
Madefire,Digital comics startup Madefire is shutting down,Madefire,"Madefire, a digital comics startup, entered into an assignment of benefit for creditors (ABC), an alternative to formal bankruptcy, at the beginning of April 2021. This was a sudden announcement for many Madefire users, who were given until the end of the month to download their purchases. The Madefire app powered a number of digital comics apps — such as Archie Unlimited and IDW — which were also shut down. Despite having a wide range of artists, including Dave Gibbons, and investors, like Drake, the company faded out in the face of competition. The Beat reports, ","“Digital comics platforms have tried to play the start-up-to-acquisition game a few times, none with as big a footprint — or as doggedly — as Madefire. In the end, readers have spoken with their wallets and eyeballs: people prefer free comics, print comics and Amazon (comiXology).”","['Failure reasons:', '', 'Assignment of benefit for creditors (ABC)', 'Sudden shutdown announcement', 'Limited time to download purchases', 'Shutdown of associated apps', 'Faded out against competition', 'Preference for free and print comics']"
Aerion Corporation ,"Aerion Supersonic shuts down, ending plans to build silent high speed business jets",Aerion Corporation ,"Aerion Corporation, an aeronautical engineering startup, announced its sudden closure at the end of May 2021. The company had drawn attention for developing a patented technology that would allow its AS2 supersonic jets to fly without creating a sonic boom. While the company had fostered partnerships with Boeing, General Electric, and NetJets, and reported plans to fly its first jet by 2024 and begin commercial services by 2026, it ultimately succumbed to challenges associated with securing necessary capital. According to a company statement, ","“The AS2 supersonic business jet program meets all market, technical, regulatory and sustainability requirements, and the market for a new supersonic segment of general aviation has been validated with $11.2 billion in sales backlog for the AS2.
However, in the current financial environment, it has proven hugely challenging to close on the scheduled and necessary large new capital requirements to finalize the transition of the AS2 into production.
Given these conditions, the Aerion Corporation is now taking the appropriate steps in consideration of this ongoing financial environment.”","['Failure reasons summarized:', '', 'Insufficient capital for production.', 'Difficulty securing necessary funding.', 'Financial challenges in current environment.']"
Periscope ,"Farewell, Periscope",Periscope,"Periscope, the livestreaming app that popularized mobile livestreaming, shut down at the end of March 2021 — 6 years after its initial launch. In December 2020, Twitter — which bought Periscope in 2015 for $100M — announced that it would be phasing out the app due to declining usage. The need for Periscope as a standalone service started to wane in 2016 when Twitter announced the launch of its homegrown streaming capabilities. Periscope’s website will remain active with an archive of its public broadcasts and users will still be able to download their data through Twitter as well. Twitter stated, ","“The truth is that the Periscope app is in an unsustainable maintenance-mode state, and has been for a while. […]
Although it’s time to say goodbye, the legacy of Periscope will live on far beyond the boundaries of the app itself.
The capabilities and ethos of the Periscope team and infrastructure already permeate Twitter, and we’re confident that live video still has the potential of seeing an even wider audience within the Twitter product.”","['Failure reasons:', '', 'Declining usage', ""Redundant with Twitter's streaming capabilities"", 'Unsustainable maintenance mode']"
SuperData Research ,Nielsen to Shut Down its SuperData Gaming Division,SuperData Research,"Market intelligence provider SuperData Research was shuttered in March 2021 by Nielsen Sports, which acquired the research firm in 2018 to help it enhance its own product offerings. While Nielsen did not specify a reason for shutting down the division, it did state that it would move away from offering gaming services as its own entity and instead add it as an additional feature to its core Nielsen Sports products. Sports Business Journal reported that market competition and Covid-19-related complications could have factored into the decision, ","“…esports industry executives, when informed of the move, noted to SBJ in general that the gaming data space is crowded and that, more broadly, the esports industry hasn’t scaled quite as much as expected in part because of effects from the coronavirus pandemic.”","['Failure reasons:', '', 'Market competition', 'Covid-19-related complications']"
Hubba ,Hubba To Shut Down,Hubba,"Canada-based e-commerce startup Hubba shut down in February 2021. The company, which had raised $59M in disclosed equity funding, aimed to help connect independent retailers and emerging brands to bring attention to new products and facilitate wholesale buying. The announcement was a shock both for those familiar with the company’s earlier achievements and IPO plans and for its employees, who were immediately let go on an all-hands zoom call at the start of the month. According to Betakit, ","“It is unclear to what extent the COVID-19 pandemic had hampered Hubba’s growth and customer base. However, one source BetaKit spoke with claimed a months-long battle between Zifkin and Hubba’s board of directors regarding the ongoing viability of the company.”","['Failure reasons:', '', 'Unclear impact of COVID-19.', 'Internal leadership conflicts.', 'Viability questioned by board.']"
Hey Tiger ,"A Farewell Letter From Our Founder, Cyan Ta’eed",Hey Tiger ,"Ethical chocolate brand Hey Tiger announced its closure at the beginning of May 2021, 3 years after opening. The company’s mission was twofold — to produce high-quality chocolate products while simultaneously acknowledging and addressing inequities in the cocoa industry. Not only did it commit to ethically sourcing ingredients, but it also made charitable donations to combat child labor and poverty in cocoa farming communities. Although the company gained a loyal following, it struggled to scale its operations and remain profitable in a manner that aligned with its social goals. A post on the company’s Instagram account stated, ","“But like any start up, there comes a time when you need to take a hard look at the company’s long term viability. Although we designed a business that customers absolutely love, it proved hard to scale into the profitability it needed to be a sustainable social enterprise. As the scale of our chocolate production grew, so did the tensions between the very things that made Hey Tiger special. Ultimately while succeeding in one goal, we couldn’t make the other.”","['Failure reasons:', '', 'Struggled to scale operations', 'Difficulty remaining profitable', 'Tensions between scaling and social goals']"
Beam ,FTC shuts down savings app Beam under tentative settlement,Beam ,"Mobile savings app Beam was shut down under a settlement with the Federal Trade Commission. The app — launched in 2019 — initially billed itself as “the first mobile high-interest savings account for the 99%,” offering interest rates as high as 7% while still permitting “24/7 access” to deposits. However, a 2020 CNBC investigation revealed that dozens of customers were not able to get their money out of their accounts, which ultimately led the FTC to shut it down and bar it from operating a similar business in the future. FTC Acting Director of Consumer Protection Daniel Kaufman stated, ",“The message here is simple for mobile banking apps and similar services: Don’t lie about your customers’ ability to get their money when they need it.”,"['Failure reasons:', '', 'Misleading customers about money access.', 'Inability to withdraw funds.', 'FTC settlement and shutdown.', 'Violation of customer trust.', 'False high-interest savings claims.']"
JAAK,Early blockchain music startup Jaak has shut down,JAAK ,"UK-based blockchain music startup JAAK announced that it would be taking most of its properties offline starting at the end of March 2021. JAAK’s goal in developing its pilot blockchain network — KORD — was to create a global view of intellectual property rights and payment information to help artists manage rights ownership and correct inconsistencies in royalty payments. A series of Tweets on the company’s corporate account points to challenges with scale and securing adequate funding, among others, as reasons for its undoing, ","“6 years is a long time in startups, especially pre-revenue ones, and, ultimately, we failed to secure the funding required to get to market. Markets change and we didn’t change quickly enough.
I have a Notion full of painful lessons about why we failed but I’ll save those for another day.
tl;dr: users > partners, no premature scaling.”","['Failure reasons summarized:', '', 'Funding challenges', 'Scaling difficulties', 'Lack of market adaptation', 'User focus over partnerships', 'Premature scaling']"
V1 Interactive ,Disintegration developer V1 Interactive shuts down,V1 Interactive ,"Video game developer V1 Interactive announced its closure in March 2021, just 9 months after releasing its debut game called Disintegration. While the company didn’t cite a specific reason for its closure, previous reports indicate that it struggled with growing an audience for its multiplayer offering. It took Disintegration’s multiplayer mode offline in September 2020, and the entire game was taken offline in November. In its final Twitter announcement, it simply stated, ","“We are sad to inform you that V1 Interactive is officially closing.
We want to thank all the talented people at V1, both past and present, who helped make the last 5 years wonderful.
And a heartfelt thanks to the amazing community that supported us.”","['Failure reason: Struggled with growing multiplayer audience.', '', 'Summarized reasons:', 'Multiplayer audience growth struggle.', ""Disintegration's multiplayer mode offline."", 'Entire game taken offline.', 'Closure announcement on Twitter.', 'Appreciation for team and community.']"
Quibi,Quibi Is Shutting Down Barely Six Months After Going Live,Quibi,"Mobile-focused streaming service Quibi shut down in October 2020 just 6 months after launching. The platform — which had raised a mammoth $1.75B from investors like NBC Universal, Viacom, and Warner Bros. Entertainment — offered subscribers shows made up of  5- to 10-minute episodes, meant to be consumed “on-the-go.” The service failed to gain traction with consumers amid a crowded playing field of streaming services and other short form content providers like TikTok. Roku purchased the rights to Quibi’s programming for less than $100M in January 2021.","…[T]here were “one or two reasons” for Quibi’s failure: The idea behind Quibi either “wasn’t strong enough to justify a stand-alone streaming service” or the service’s launch in the middle of a pandemic was particularly ill-timed. “Unfortunately, we will never know, but we suspect it’s been a combination of the two,” they said.","['Failure reasons:', '', 'Weak concept for streaming service.', 'Ill-timed launch during pandemic.']"
Aura Financial,"Hammered by pandemic, consumer lender Aura shuts down",Aura Financial ,"Latino-focused consumer lender Aura Financial, which offered customers loans of $300 to $4,000 through supermarkets and other retailers, suspended operations in early January as it faced increasing financial challenges. On LinkedIn, company co-founder James Gutierrez blamed the company’s demise on the pandemic and a lack of funding, as quoted in American Banker:","“When the pandemic first hit, Aura was on the verge of closing new financing on its final march to profitability. However, suddenly, all capital dried up as the uncertainty of how our low-income, mostly Latino customer base would recover from a pandemic that disproportionately impacted their jobs, health, and finances intimidated investors.”","['Failure reasons:', '', 'Pandemic impact on customer base.', 'Lack of funding.']"
Loon,Alphabet punctures Loon internet balloon project,Loon,"Loon, the high-flying internet balloon project spun out of X, Alphabet’s (the parent company of Google) innovation lab, closed down in January. According to the Financial Times,","Astro Teller, head of X, said on Thursday that, “despite the team’s groundbreaking technical achievements over the last nine years, the road to commercial viability has proven much longer and riskier than hoped.”","['Failure reasons:', '', 'Commercial viability took longer.', 'Road to viability was risky.']"
Xinja,Australian neobank Xinja throws in the towel,Xinja,"Australia-based digital bank Xinja announced in December 2020 it would exit banking, returning its banking license and refunding customer deposits. The startup had reportedly spent heavily on its high-interest bank accounts and was unable to close a funding round before announcing its decision to shut down its banking products on its website, noting:","“After a year marked by Covid-19 and an increasingly difficult capital-raising environment, and following a review of the market in Australia, Xinja has decided to withdraw the bank account and Stash (savings) account and cease being a bank. This was an incredibly hard decision. We hope to refocus the business in other areas such as our US share trading product, Dabble, should circumstances allow.”","['Failure reasons summarized:', '', 'High spending on bank accounts.', 'Unable to close funding round.', 'Difficult capital-raising environment.', 'Review of the market.', 'Refocusing on other business areas.']"
GoBear,Financial services firm GoBear closing business,GoBear,"Despite having raised $17M in fresh funding in May 2020, Singapore-based fintech GoBear announced it would wind down operations earlier this year. The startup, which offered a financial products comparison tool, cited its inability to raise new financing and the pandemic’s downward pressure on consumer demand for products like travel insurance as reasons for its failure. The Strait Times reported:","In a statement, the fintech firm said Covid-19 has made the operating and fund-raising environment “very challenging,” despite the firm having made progress in its growth and transformation plans last year.
The factors included a prolonged period of weakened demand for some financial products and services, in particular travel insurance.","['Failure reasons summarized:', '', 'Inability to raise new financing', ""Pandemic's impact on consumer demand"", 'Weakened demand for financial products']"
Quantopian,A Crowdsourced Quant Fund Fizzles in Era of Democratized Trading,Quantopian,"Quantitative trading platform Quantopian announced in October 2020 that it would shut down and that its co-founders and employees would move to Robinhood. The company, which had raised over $51M in funding from names like Andreessen Horowitz, Khosla Ventures, Bessemer Venture Partners, let users develop and test algorithmic trading strategies for free. Selected algorithms were then used as part of Quantopian’s hedge fund’s investing strategy, and developers would get a cut of the profits. Bloomberg said about the shutdown:","It was the wisdom of the crowds, applied to the nerdiest corner of Wall Street—radical, sure, but a logical extension of a burgeoning gig economy and a tech revolution that was opening up access to ever-deeper market data.
The startup, which was launched in 2011, also tried to make money by selling an enterprise version of its online platform to financial firms. But that never really took off, and it was mainly banking on its hedge fund to succeed, according to people familiar with the matter who spoke on the condition of anonymity. […]
The fund stopped trading at the start of 2020. In an interview with the Boston Business Journal, Fawcett said the fund had underperformed.","['Failure reasons:', '', 'Lack of profitability in enterprise sales.', 'Hedge fund underperformance.', 'Reliance on hedge fund success.', 'Inability to monetize online platform.', 'Transition of employees to Robinhood.']"
AWOK,Dubai’s Awok shuts down just a year after raising $30 million Series A,AWOK,"Dubai-based e-commerce startup AWOK closed down in early September 2020. While the startup blamed the pandemic for its demise in an official statement, the company had allegedly been far behind on payments to its employees and suppliers before then, despite having secured $30M in funding a year prior.","MENAbytes has spoken with multiple employees at Awok all of which have confirmed that the company has been in crisis since the start of 2020. All of them have told us that the employees weren’t paid salaries since January and the majority of them left the company in March. […]
Some of the vendors of the company were also not paid their dues, the former employees of the company told us. The online reviews of Awok on Trust Pilot suggest that the company was not fulfilling the orders of customers in spite of receiving payments.","['Failure reasons:', '', 'Financial mismanagement and non-payment.', 'Lack of order fulfillment.', 'Employee salary non-payment.', 'Crisis since the start of 2020.', 'Blamed pandemic for demise.']"
Brideside,Wedding apparel retailer Brideside abruptly shuts down,Brideside,"Launched in 2013, wedding and bridesmaid dress retailer Brideside shut down in November 2020, as it and the wedding industry on the whole faced significant headwinds due to Covid-19. According to Retail Dive,","The retailer, which sold online and through physical retail locations in Boston, Chicago, Charlotte and New York said that “with two-thirds of weddings cancelled in 2020 and an uncertain year ahead, our chapter has come to an end.”","['Failure reason: Covid-19 impact on wedding industry.', '', 'Summarized reasons:', 'Covid-19 devastated wedding industry.', 'Two-thirds of weddings cancelled.', 'Uncertain year ahead led to closure.']"
Joonko,The fintech company Joonko to cease operations after only 12 months of existence,Joonko,"Berlin-based financial products comparison site Joonko shut down in October 2020 after only 1 year in operation. The startup, which had received $11M in seed funding from Ping An Ventures and Raisin, was in talks to raise another financing round which fell through. As quoted in Born2Invest, the company’s press release at the time of its closure stated:","“Series A financing round with existing and new investors, which was initiated in spring, could not be completed because one of the lead investors withdrew at short notice. An alternative and sufficient financing is not possible in such a short period of time, so the company is now taking the step and discontinuing the business.”","['Failure reasons:', '', 'Failed financing round', 'Lead investor withdrawal', 'Insufficient alternative financing', 'Short time for securing funds', 'Business discontinuation']"
HubHaus,"Bay Area co-living startup HubHaus implodes, stranding renters and homeowners",HubHaus,"Co-living rental platform HubHaus, which raised over $12M in VC funding, announced it would wind down operations in September 2020 after months of missed payments. The company laid off all employees and transferred all tenants’ leases to the homeowners abruptly. The San Francisco Chronicle reports,","Many landlords who had rented their homes to HubHaus said in interviews and on a Facebook group that it had already slashed the rent it was paying them in recent months, leaving them tens of thousands of dollars in the hole. Several said they were stunned to discover that it had also stopped paying utilities months ago. (Because of the pandemic, utility companies are not cutting off service for nonpayment.)","['Failure reasons:', '', 'Missed payments, layoffs, abrupt transfers.', 'Rent reduction, leaving landlords indebted.', 'Stopped paying utilities, accumulating debts.']"
TerrAvion,"TerrAvion Abruptly Files For Bankruptcy, Ceases Operations",TerrAvion,"Agtech imaging startup TerrAvion folded abruptly in September 2020. According to CropLife, company CEO Robert Morris said in an email to customers:","“I wish we could have given everyone more of a heads up, but we were working and hoping to avoid this until just hours ago. I cannot tell you how disappointed I am in this outcome. To make the decisions it will be called upon to make on every acre in the 21st century, agriculture needs modern, open, high-resolution data infrastructure. Though TerrAvion delivered the most volume in our category — with positive and growing margins — agribusiness and capital markets seem to have incommensurate expectations. TerrAvion was caught in the middle. The team and I did everything possible in our power to make it work.”","['Failure reasons:', '', 'Incommensurate expectations from markets.', 'Caught in the middle.', 'Insufficient heads up to customers.', 'Need for modern data infrastructure.', 'Efforts to make it work.']"
Rubica,Seattle cybersecurity startup Rubica shuts down after running out of cash,Rubica ,"Cybersecurity startup Rubica, which initially offered its services to individual consumers and small businesses, closed up shop in November 2020. The 4-year-old startup had attempted to pivot to offering its services to larger customers as it struggled to generate enough revenue from its consumer subscription service, but it was unable to convince investors of the viability of its model. Rubica CEO and co-founder Frances Dewing told GeekWire:","“We were all really surprised given how relevant and needed this is right now,” Dewing said. “Investors didn’t agree with that or see it in the same way.”","['Failure reasons:', '', 'Insufficient revenue from consumer subscriptions.', 'Inability to convince investors.', 'Lack of viability in business model.']"
Haven,"Haven, the Amazon-Berkshire-JPMorgan venture to disrupt health care, is disbanding after 3 years",Haven,"Haven, a joint venture by Amazon, Berkshire Hathaway, and JPMorgan Chase aimed at lowering healthcare costs, announced it would shut down in February 2021, 3 years after launching. According to CNBC,","One key issue facing Haven was that while the firm came up with ideas, each of the three founding companies executed their own projects separately with their own employees, obviating the need for the joint venture to begin with, according to the people, who declined to be identified speaking about the matter.","['Failure reason: Lack of collaboration and coordination.', '', 'Summarized reasons:', 'Lack of collaboration among founders.', 'Separate execution of projects.', 'Redundancy of joint venture.']"
TenX,Crypto payment and wallet project TenX shuts down,TenX,"Cryptocurrency payments startup TenX is sunsetting its current services and has disabled new signups and deposits. The startup, which was incubated by PayPal in 2016, announced in October 2020 it would discontinue its cards as its card issuer Wirecard filed for insolvency. The company stated,","“This is not goodbye, and we want to thank you for your support along the way and helping us build an incredible community of visionaries who are committed to the future of sound money.”","['Failure reasons:', '', 'Card issuer insolvency', 'Discontinuation of cards', 'Disabled signups and deposits']"
